time_s,before_payload,after_payload,before_ms,after_ms
244.874,,,93.45,89.62
244.928,,,85.38,78.42
244.957,,,81.04,81.09
244.999,,,83.29,82.07
245.041,,,88.61,84.18
245.085,,,83.25,80.29
245.132,,,77.9,79.96
245.15800000000002,,,79.63,81.18
245.199,,,78.45,81.48
245.245,,,78.31,83.46
245.274,,,76.26,91.45
245.316,,,79.05,87.75
245.358,,,78.01,88.1
245.403,,,80.56,87.26
245.44400000000002,,,87.26,79.88
245.485,,,79.97,79.09
245.516,,,77.57,114.72
