sample,time_s,before,before_ms,after,after_ms
164,164.012,,79.47291699929337,,84.83368099950894
165,165.008,,118.76262400073756,,149.08664399990812
166,166.007,,94.22816400001466,,84.76675199926831
167,167.005,,84.42515599926992,,80.78204900084529
168,168.006,,85.89173300060793,,83.03263000016159
169,169.006,,81.2931069995102,,81.74654100002954
170,170.011,,84.6782720000192,,91.13536800032307
171,171.042,,89.99607599980664,,102.25895899930038
172,172.038,,148.2394810009282,,139.00544599891873
173,173.04500000000002,,119.52727700008836,,118.40455800120253
174,174.0,,89.35677200133796,,85.08186300059606
175,175.005,,91.36778799984313,,89.24145799937833
176,176.018,,94.77704699929745,,173.49139799989644
177,177.006,,90.02032799980952,,105.4377199998271
178,178.006,,102.35020199979772,,97.16970100089384
179,179.0,,98.06207899964647,,169.00257999986934
180,180.001,,86.67391300150484,,77.73573699887493
181,181.007,,81.13767900067614,,81.36666399877868
182,182.044,,80.22839300065243,,80.62231300027634
183,183.002,,90.06993500042881,,83.46263699968404
184,184.007,,94.2075749990181,,89.49748300074134
185,185.006,,88.88503999878594,,84.14962799906789
186,186.008,,80.04684699881182,,81.39169300011417
187,187.043,,80.65252999949735,,129.64241599911475
188,188.005,,83.16250899952138,,83.48907400068128
189,189.044,,82.42539300044882,,94.0138410005602
190,190.003,,92.83993699864368,,127.93599399992672
191,191.007,,99.03210000084073,,85.848269998678
192,192.006,,85.53179200134764,,81.57280999876093
193,193.004,,80.50993800134165,,77.52236099986476
194,194.006,,77.5785639998503,,79.7018390003359
195,244.202,,79.08769300047425,,80.15409400104545
196,244.27,,77.33029199880548,,81.36783100053435
197,244.28300000000002,,77.83100799861131,,78.53189199886401
198,244.34900000000002,,78.81415900010325,,83.20915900003456
199,244.357,,78.95203699990816,,80.27708699955838
200,244.397,,86.11332600048627,,90.04745299898786
201,244.441,,78.47226700141618,,83.61694400082342
202,244.485,,88.31218099840044,,85.64306299922464
203,244.52700000000002,,77.52567100033048,,78.97433000107412
204,244.568,,77.17114200022479,,78.24121200064837
205,244.598,,78.0255079989729,,80.11493100093503
206,244.64000000000004,,79.98832299927017,,86.790731000292
207,244.685,,80.55396700001438,,84.54269999856479
208,244.72,,80.49815899903479,,81.08550799988734
209,244.756,,78.82438500018907,,83.17028199962806
210,244.798,,77.33284100140736,,79.56614199974865
211,244.84,,78.99886300037906,,90.03252899856307
212,244.874,,80.57084299980488,,81.08541599904129
213,244.928,,80.3525390001596,,80.24729499993555
214,244.957,,80.64600699981384,,83.01760699941951
215,244.999,,82.35807900018699,,91.53381600117427
216,245.041,,110.08895600025426,,91.06735999921511
217,245.085,,85.71802500046033,,79.57334700040519
218,245.132,,79.93879399873549,,79.41011999901093
219,245.15800000000002,,78.63025499864307,,79.93500100019446
220,245.199,,82.4121349996858,,81.13454799968167
221,245.245,,80.63823300108197,,81.48385000095004
222,245.274,,80.23746300023049,,81.08386499952758
223,245.316,,83.67277399884188,,82.24052700097673
224,245.358,,80.00213200102735,,78.6650189984357
225,245.403,,77.67405199956556,,78.93354599946178
226,245.44400000000002,,78.90570699964883,,78.12405699951341
227,245.485,,79.03322099991783,,77.64828600011242
228,245.516,,79.08354599931045,,79.85647600071388
